Title,Time,Genre,Rating,Summary,Director/s,Stars
 Gemini Man (2019),117 min,"['Action', '|', 'Drama', '|', 'Sci-Fi', '|', 'Thriller']",33        ,"
    An over-the-hill hitman faces off against a younger clone of himself.","
Director:

Ang Lee 
","
Stars:
Will Smith, 
Mary Elizabeth Winstead, 
Clive Owen, 
Benedict Wong
"
 The Addams Family (2019),105 min,"['Animation', '|', 'Comedy', '|', 'Family', '|', 'Fantasy', '|', 'Horror']",None,"
    An animated version of Charles Addams' series of cartoons about a peculiar, ghoulish family.","
Directors:

Greg Tiernan 
|

Conrad Vernon 
","
Stars:
Oscar Isaac, 
Charlize Theron, 
Chloë Grace Moretz, 
Finn Wolfhard
"
 Gisaengchung (2019),132 min,"['Comedy', '|', 'Drama', '|', 'Thriller']",92        ,"
    All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.","
Director:

Joon-ho Bong 
","
Stars:
Kang-ho Song, 
Sun-kyun Lee, 
Yeo-jeong Jo, 
Woo-sik Choi
"
 Jexi (2019),132 min,['Comedy'],None,"
    A comedy about what can happen when you love your phone more than anything else in your life.","
Directors:

Jon Lucas 
|

Scott Moore 
","
Stars:
Rose Byrne, 
Justin Hartley, 
Adam Devine, 
Alexandra Shipp
"
 Little Monsters (2019),93 min,"['Comedy', '|', 'Horror']",59        ,"
    A washed-up musician teams up with a teacher and a kids show personality to protect young children from a sudden outbreak of zombies.","
Director:

Abe Forsythe 
","
Stars:
Lupita Nyong'o, 
Josh Gad, 
Stephen Peacocke, 
Alexander England
"
 The Dead Center (2018),92 min,['Thriller'],None,"
    A hospital psychiatrist's own sanity is pushed to the edge when a frightened amnesiac patient insists that he has died and brought something terrible back from the other side.","
Director:

Billy Senese 
","
Stars:
Shane Carruth, 
Poorna Jagannathan, 
Jeremy Childs, 
Bill Feehely
"
 Gift (2018),90 min,['Documentary'],None,"
    Creative essay doc inspired by Lewis Hyde's classic bestseller The Gift. Chronicling gift-based cultures around the world and challenging the logic of global capitalism, the film inspires the question: is life about getting or giving?","
Director:

Robin McKenna 
","
Stars:
Marcus Alfred, 
Wayne Alfred, 
Giorgio De Finis, 
Mingwei Lee
"
 Free Dance (2018),90 min,['Romance'],None,"
    A young choreographer casts a contemporary dancer and an innovative pianist in New York's most anticipated new Broadway show.","
Director:

Michael Damian 
","
Stars:
Jane Seymour, 
Thomas Doherty, 
Ace Bhatti, 
Juliet Doherty
"
 Maleficent: Mistress of Evil (2019),118 min,"['Adventure', '|', 'Family', '|', 'Fantasy']",None,"
    Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play.","
Director:

Joachim Rønning 
","
Stars:
Angelina Jolie, 
Elle Fanning, 
Imelda Staunton, 
Michelle Pfeiffer
"
 Zombieland: Double Tap (2019),93 min,"['Action', '|', 'Comedy', '|', 'Horror']",None,"
    Columbus, Tallahasse, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.","
Director:

Ruben Fleischer 
","
Stars:
Zoey Deutch, 
Emma Stone, 
Abigail Breslin, 
Bill Murray
"
